"SRC","EPSG","Hemisferio"
"Pulkovo 1995 / Gauss-Kruger CM 63E",2470,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 69E",2471,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 75E",2472,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 81E",2473,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 87E",2474,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 93E",2475,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 99E",2476,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 105E",2477,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 111E",2478,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 117E",2479,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 123E",2480,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 129E",2481,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 135E",2482,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 141E",2483,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 147E",2484,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 153E",2485,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 159E",2486,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 165E",2487,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 171E",2488,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 177E",2489,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 177W",2490,"unknown"
"Pulkovo 1995 / Gauss-Kruger CM 171W",2491,"unknown"
"Pulkovo 1942 / Gauss-Kruger CM 21E",2494,"unknown"
"Pulkovo 1942 / Gauss-Kruger CM 27E",2495,"unknown"
"Pulkovo 1942 / Gauss-Kruger CM 33E",2496,"unknown"
"Pulkovo 1942 / Gauss-Kruger CM 39E",2497,"unknown"
"Pulkovo 1942 / Gauss-Kruger CM 45E",2498,"unknown"
"Pulkovo 1942 / Gauss-Kruger CM 51E",2499,"unknown"
"Pulkovo 1942 / Gauss-Kruger CM 57E",2500,"unknown"
"Pulkovo 1942 / Gauss-Kruger CM 63E",2501,"unknown"
"Pulkovo 1942 / Gauss-Kruger CM 69E",2502,"unknown"
"Pulkovo 1942 / Gauss-Kruger CM 75E",2503,"unknown"
"Pulkovo 1942 / Gauss-Kruger CM 81E",2504,"unknown"
